fatiado_001|É um cachorro. Tá perdidinho toto? Ele deve ser de algum vizinho nosso.
fatiado_003|Bom Menino.
fatiado_004|Não um salão canino, você se comportou bem hoje então merece um bom tratamento.
fatiado_005|Eu vou inscrever o meu cachorro.
fatiado_007|Que a senhorita disse?
fatiado_009|E eu vou provar pra você porque o meu cachorro vai vencer o desfile canino de hoje.
fatiado_010|O seu salão é uma bagunça.
fatiado_011|Quer ganhar um trofeu?
fatiado_013|Caixa cheia de areia.
fatiado_015|Teve uma rachadura no seu casco?
fatiado_016|Eu resolvo isso eu tenho seguro.
fatiado_017|Até mesmo eu ficarei feliz em pagar.
fatiado_020|É e eu sei.
fatiado_021|Eu sei eu sei exatamente quem você é.
fatiado_022|A não o que isso quer dizer hein?
fatiado_023|Dois mil dolares para consertar seu casco?
fatiado_025|Qual é o seu endereço?
fatiado_026|Não desculpa, eu não tava falando com você não. Quer meu cartão de crédito pra que?
fatiado_027|Que se disse em?
fatiado_028|Não você. Não desculpa eu não tava falando com você não. Toma!
fatiado_030|Entregar seu cheque.
fatiado_031|Eu sei é bastante vulnerável.
fatiado_032|Tinha né Cecil?
fatiado_033|Eu já volto tá?
fatiado_034|Parecia uma risada maligna de um vilão de desenho animado.
fatiado_035|Ta olhando pra quem?
fatiado_037|Deixa eu falar com ele.
fatiado_039|Tava falando com ele na nossa lingua.
fatiado_040|Quer saber do que mais? Infelizmente meu talão de cheques ficou em casa.
fatiado_043|Era a maior aranha que eu já vi na vida.
fatiado_046|Aranha da areia africana.
fatiado_047|O genero é Sicarius.
fatiado_050|Veneno da aranha da areia de seis olhos.
fatiado_051|Causa vazamento dos vasos sanguineos.
fatiado_052|Tem uma aranha assassina na minha casa.
fatiado_053|Deixa eu subir no seus ombros.
fatiado_054|Ta bem sobe nos meus ombros.
fatiado_055|Aé esse é a minha marca Tímel, foi o que você disse, né? Tímel.
fatiado_056|Tô botando uma prateleira.
fatiado_057|Eu só acertei uma viga, acontece.
fatiado_058|Agradecido. Mas eu sei o que estou fazendo. Afinal, eu ganhei um premio Nobel.
fatiado_059|Perguntei se você quer dividir a entrada?
fatiado_060|Mil e uma piadas sobre o Gran Kennel.
fatiado_061|Lá na lojinha vende calça.
fatiado_062|Se você não gostou dessa tem outras mil piadas.
fatiado_063|Você não se lembra não? Concordamos que você vai fazer as tarefas nos primeiros tezentos e sessenta e cinco dias do ano e eu no restante, bobo.
fatiado_064|Quando você mora num condominio você deve seguir um codigo de conduta, parte dele é ser amigo dos seus vizinhos mesmo dos vizinhos maus.
fatiado_065|Nah que que há vizinho?
fatiado_066|Só vemos aqui como amigos.
fatiado_068|Tamo de férias.
fatiado_071|Quando cê vai aprender a nadar?
fatiado_075|Tá usando uma camisa.
fatiado_076|Cuidado abusado.
fatiado_077|Que sortudo.
fatiado_078|Eu não vou sair do pais.
fatiado_079|Quando é meu aniversário?
fatiado_080|Tem jeito não!
fatiado_081|A gente senta juntinho, assiste a um filme e não fala!
fatiado_082|Lembrei que estou atrasado... Pro outro lugar.
fatiado_083|Não funciona só com patolino funciona com todo tipo de gente chata.
fatiado_084|Conversa de dez minutos com eufrazino e eu não escutei uma só palavra.
fatiado_085|Eu era mais mal-educado antes de comprar isso.
fatiado_086|Agora eu só coloco essas coisinhas.
fatiado_087|Eu só aceno a cabeça de vez em quando eu faço ahan e quando parece que a pessoa acabou de falar eu digo entendo o que você quer dizer.
fatiado_088|Eu sou um excelente ouvinte, contanto que eu não ouça o que as pessoas estão falando.
fatiado_089|Não vale nada não. É um brinquedinho inútil!
fatiado_090|Eu sempre amei ser heroi, os poderes, as aventuras a atenção, a roupa!
fatiado_091|Eu amava o povo mais que tudo e o povo me amava também que ele não era besta.
fatiado_092|Abriremos as portas em cinco minutos, o Gaguinho será o caixa, você e eu vamos ficar na frente recebendo os clientes.
fatiado_093|E vocês dois vão ficar nos fundos fazendo pizza, alguma pergunta?
fatiado_094|É só enrolar a massa.
fatiado_095|Joga a massa.
fatiado_096|Passa o molho, jogar queijinho em cima e voilà!
fatiado_097|Quatro ainda não recebeu a pizza. Que que ta havendo aí?
fatiado_098|Eu vou cuidar disso!
fatiado_099|Não gosto desse som.
fatiado_100|Da a má noticia.
fatiado_101|Qual é a boa noticia?
fatiado_102|Abriremos a porta em cinco minutos o Gaguinho será o caixa, você e eu vamos ficar na frente recebendo os clientes e vocês dois vão ficar nos fundos fazendo pizza, alguma pergunta?
fatiado_104|Olha só, pensando bem eu acho que eu vou levar uma tortinha de limão, por favor.
fatiado_105|Tá demorando tanto bobo. Essa é a primeira rodada pode formar qualquer palavra.
fatiado_106|Se você não consegue dizer provavelmente não é.
fatiado_107|Use numa frase.
fatiado_108|Cê disse escala?
fatiado_109|Consegue nem subir a escada.
fatiado_110|É o mesmo telefone da sua casa.
fatiado_111|Não sabe o numero do Gaguinho?
fatiado_112|O zero oito um cinco.
fatiado_113|Sabe o nome dele? É Gaguinho.
fatiado_114|Cê faz lá todo dia? Cê não tem dinheiro.
fatiado_115|Sua bolsa tá no armário.
fatiado_116|Que não leva só uma carteira.
fatiado_117|Ai não acredito que cê vai sair assim na rua.
fatiado_118|Não celebrar o natal esse ano.
fatiado_119|Eufrazino eu não vou ajudar você a mentir para uma garota pra ela ser sua namorada.
fatiado_120|Quem seria maluco pra fingir que ganhou o premio nobel?
fatiado_121|É meu novo relogio de corrida ele tem de tudo.
fatiado_122|Perna longa. Eu tenho uma consulta com o doutor Weisberg.
fatiado_123|Não joga na privada e puxa a descarga.
fatiado_124|É o Rodney Rabbit, é um velho amigo meu.
fatiado_125|Melhor amigo. Patolino, gente grande não tem melhor amigo, nós temos muitos amigos. O Rodney é legal cê vai gostar dele.
fatiado_126|Ah jura? Eu não me lembro de você lá. Qual era o seu chalé? Nós eramos do chalé sete os tubarões.
fatiado_127|Eu me lembro que eu ia te mandar uma carta.
fatiado_128|Ansioso eu não to ansioso se alguém ta ansioso é o senhor eu não to ansioso!
fatiado_129|E a minha saúde ta cem por cento!?
fatiado_130|Ótimo até o ano que vem!
fatiado_131|Eu sabia! Eu sabia que tava escondendo alguma coisa! Quanto tempo eu tenho!? Um ano!? Um mês!? Um dia!? É contagioso!? Se for, todos precisam saber! Temos que avisar!
fatiado_132|Que não me avisou logo!? Que tipo de médico você é!? Aposto que nem é médico de verdade!
fatiado_133|Syracuse!? Aposto que esse diploma é comprado! 
fatiado_134|O senhor vai ter que... Colar isso.
fatiado_135|Tá... Nada de cafeina.
fatiado_136|O que é igual a café?
fatiado_137|Começou a vender isso?
fatiado_138|Talá uma prateleira? Eu ganhei o premio nobel eu consigo instalar a prateleira bobo.
fatiado_139|Eu preciso de um ponto mais firme.
fatiado_140|Você vende alguma coisa pra preencher um buraquinho atoa? Coisinha pouca. Bobaginha mesmo.
fatiado_141|Pessoas usam essa massa.
fatiado_142|Não, eu consigo instalar sem problema, eu usei o martelo e belezinha.
fatiado_143|Claro, furei a parede direitinho.
fatiado_144|O senhor vende furadeira aqui, né?
fatiado_148|Cara ái? Ah, aposto que ele é fofinho.
fatiado_149|Deixa eu ver se peguei o raciocinio. Eu posso insultar quem eu bem entender sem ter medo de acabar me machucando. Eu já devia ter sido preso a muito tempo. É o paraiso de quem gosta de fazer uma piada.
fatiado_150|Vamos jogar um pouquinho pra ver como é que estamos, né?
fatiado_151|Liga não bobo, estamos só esquentando.
fatiado_152|Alguém vai jogar alguma bola de volta pra mim? Quer saber? Porque que você não saca?
fatiado_153|Eu vou adivinhr. Lola aprendeu a jogar tenis com você, né?
fatiado_154|Com licença, me empresta aqui? obrigado.
fatiado_155|Ganhei, nossa foi tão fácil.
fatiado_156|Três, dois.
fatiado_157|Que beleza, deviamos dar uma festa pra comemorar.
fatiado_158|Por uma semana, a sua direita não melhorou nada, e de alguma forma a sua esquerda ficou pior ainda. Você não sabe sacar, você tem medo da rede.
fatiado_159|Que a bola vier pro nosso lado sai da frente e deixa eu rebater.
fatiado_160|Neh não posso mais reclamar por não tocar na bola.
fatiado_161|Patolino? Tá fazendo o que aqui, doido?
fatiado_162|Eu vou jogar na final do torneio de pais e filhos, cê não sabia não?
fatiado_163|A dancinha russa!
fatiado_164|O velhinho não percebeu que o coelhinho aqui é medalha de ouro, sem querer me gabar.
fatiado_165|Ah, aquele alí não é o seu tio?
fatiado_166|Tenho aqui meu livro legal. Tenho aqui meu protetor solar. Eu não vou vier como se fosse o meu último dia de vida, eu vou dar uma relaxadinha que eu não sou besta.
fatiado_167|É o Basebol. É São Francisco. Discutível.
fatiado_168|Desculpe, me enganei. Eles diviam sinalizar esses botões mais claramente, vou tentar outro botão.
fatiado_169|O culpado é o mordomo do mordomo, né?
fatiado_170|Você não sabe nada sobre mim seu bobo. Aposto que se você procurar absurdo no dicionário, vai encontrar a sua foto.
fatiado_171|E eu vou mesmo. A prisão foi a melhor coisa que já aconteceu comigo e você não vai me afastar disso.
fatiado_172|Vamos dormir onde, bobo?
fatiado_173|Ele estava usando o meu roupão?
fatiado_174|Não banca o bobo não, rapaz. Eu ouvi você reclamando que o ar seco estava equizema.
fatiado_175|Parte da culpa é sua também.
fatiado_176|Agente era a coisa certa a fazer, e se tivesse que fazer de novo eu faria.
fatiado_177|Será que sumiu por causa disso aqui?
fatiado_178|Tratamento de beleza? Cê tem que ter um mês só pra fazer as sobrancelhas.
fatiado_179|Eu nunca pensei que diria isso, mas não é má ideia querido patolino.
fatiado_180|To mais preocupado com o pouco que você sabe sobre mim.
fatiado_181|Eu lembro de ter ouvido você torcer pra chuver a dois dias.
fatiado_182|Então come que o senhor explica essa corrente?
fatiado_183|Boa noite, Leopoldo!
fatiado_184|Com quem que cê tá falando homem?
